"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, +1.38554774607E+001, +0.00000000000E+000
+3.00973681049E+005, +1.35907491906E+001, +0.00000000000E+000
+3.01947362099E+005, +1.42743512730E+001, +0.00000000000E+000
+3.02921043148E+005, +1.42348842292E+001, +0.00000000000E+000
+3.03894724198E+005, +1.40889149700E+001, +0.00000000000E+000
+3.04868405247E+005, +1.36540201217E+001, +0.00000000000E+000
+3.05842086296E+005, +1.43447425744E+001, +0.00000000000E+000
+3.06815767346E+005, +1.40209052855E+001, +0.00000000000E+000
+3.07789448395E+005, +1.34474740733E+001, +0.00000000000E+000
+3.08763129445E+005, +1.36885454866E+001, +0.00000000000E+000
+3.09736810494E+005, +1.39630812398E+001, +0.00000000000E+000
+3.10710491544E+005, +1.37959069204E+001, +0.00000000000E+000
+3.11684172593E+005, +1.36751477529E+001, +0.00000000000E+000
+3.12657853642E+005, +1.40173041863E+001, +0.00000000000E+000
+3.13631534692E+005, +1.38929280396E+001, +0.00000000000E+000
+3.14605215741E+005, +1.36949760547E+001, +0.00000000000E+000
+3.15578896791E+005, +1.28413976971E+001, +0.00000000000E+000
+3.16552577840E+005, +1.44823656187E+001, +0.00000000000E+000
+3.17526258889E+005, +1.42367243343E+001, +0.00000000000E+000
+3.18499939939E+005, +1.36353302947E+001, +0.00000000000E+000
+3.19473620988E+005, +1.33549932172E+001, +0.00000000000E+000
+3.20447302038E+005, +1.37926980139E+001, +0.00000000000E+000
+3.21420983087E+005, +1.40850943041E+001, +0.00000000000E+000
+3.22394664136E+005, +1.38741506085E+001, +0.00000000000E+000
+3.23368345186E+005, +1.40972239933E+001, +0.00000000000E+000
+3.24342026235E+005, +1.38697743679E+001, +0.00000000000E+000
+3.25315707285E+005, +1.36289601341E+001, +0.00000000000E+000
+3.26289388334E+005, +1.39008729964E+001, +0.00000000000E+000
+3.27263069384E+005, +1.38458658462E+001, +0.00000000000E+000
+3.28236750433E+005, +1.36648093007E+001, +0.00000000000E+000
+3.29210431482E+005, +1.40455674668E+001, +0.00000000000E+000
+3.30184112532E+005, +1.36892914801E+001, +0.00000000000E+000
+3.31157793581E+005, +1.33097695301E+001, +0.00000000000E+000
+3.32131474631E+005, +1.34425381842E+001, +0.00000000000E+000
+3.33105155680E+005, +1.44106569662E+001, +0.00000000000E+000
+3.34078836729E+005, +1.31008118538E+001, +0.00000000000E+000
+3.35052517779E+005, +1.41666276793E+001, +0.00000000000E+000
+3.36026198828E+005, +1.40916257575E+001, +0.00000000000E+000
+3.36999879878E+005, +1.46632592070E+001, +0.00000000000E+000
+3.37973560927E+005, +1.36088671725E+001, +0.00000000000E+000
+3.38947241976E+005, +1.31755552254E+001, +0.00000000000E+000
+3.39920923026E+005, +1.37520635715E+001, +0.00000000000E+000
+3.40894604075E+005, +1.43837132281E+001, +0.00000000000E+000
+3.41868285125E+005, +1.36856818309E+001, +0.00000000000E+000
+3.42841966174E+005, +1.40111776824E+001, +0.00000000000E+000
+3.43815647223E+005, +1.40085916019E+001, +0.00000000000E+000
+3.44789328273E+005, +1.33912343012E+001, +0.00000000000E+000
+3.45763009322E+005, +1.41439846767E+001, +0.00000000000E+000
+3.46736690372E+005, +1.47504064169E+001, +0.00000000000E+000
+3.47710371421E+005, +1.44727531256E+001, +0.00000000000E+000
+3.48684052471E+005, +1.37493255815E+001, +0.00000000000E+000
+3.49657733520E+005, +1.41438694958E+001, +0.00000000000E+000
+3.50631414569E+005, +1.39556852879E+001, +0.00000000000E+000
+3.51605095619E+005, +1.36839818753E+001, +0.00000000000E+000
+3.52578776668E+005, +1.35914281140E+001, +0.00000000000E+000
+3.53552457718E+005, +1.36785074148E+001, +0.00000000000E+000
+3.54526138767E+005, +1.43166637013E+001, +0.00000000000E+000
+3.55499819816E+005, +1.39652286311E+001, +0.00000000000E+000
+3.56473500866E+005, +1.37070033650E+001, +0.00000000000E+000
+3.57447181915E+005, +1.39160308220E+001, +0.00000000000E+000
+3.58420862965E+005, +1.40795889690E+001, +0.00000000000E+000
+3.59394544014E+005, +1.38240466107E+001, +0.00000000000E+000
+3.60368225063E+005, +1.32461938391E+001, +0.00000000000E+000
+3.61341906113E+005, +1.38872326944E+001, +0.00000000000E+000
+3.62315587162E+005, +1.34373718399E+001, +0.00000000000E+000
+3.63289268212E+005, +1.43873063713E+001, +0.00000000000E+000
+3.64262949261E+005, +1.39865818890E+001, +0.00000000000E+000
+3.65236630311E+005, +1.33383187022E+001, +0.00000000000E+000
+3.66210311360E+005, +1.42920581808E+001, +0.00000000000E+000
+3.67183992409E+005, +1.42107646770E+001, +0.00000000000E+000
+3.68157673459E+005, +1.41319536049E+001, +0.00000000000E+000
+3.69131354508E+005, +1.36124900051E+001, +0.00000000000E+000
+3.70105035558E+005, +1.37892018864E+001, +0.00000000000E+000
+3.71078716607E+005, +1.37083981571E+001, +0.00000000000E+000
+3.72052397656E+005, +1.36893680427E+001, +0.00000000000E+000
+3.73026078706E+005, +1.36259450140E+001, +0.00000000000E+000
+3.73999759755E+005, +1.37458217859E+001, +0.00000000000E+000
+3.74973440805E+005, +1.33054724575E+001, +0.00000000000E+000
+3.75947121854E+005, +1.34814240131E+001, +0.00000000000E+000
+3.76920802903E+005, +1.36501489007E+001, +0.00000000000E+000
+3.77894483953E+005, +1.43027394524E+001, +0.00000000000E+000
+3.78868165002E+005, +1.32674220771E+001, +0.00000000000E+000
+3.79841846052E+005, +1.36647027051E+001, +0.00000000000E+000
+3.80815527101E+005, +1.36995768198E+001, +0.00000000000E+000
+3.81789208151E+005, +1.37157692951E+001, +0.00000000000E+000
+3.82762889200E+005, +1.38275981306E+001, +0.00000000000E+000
+3.83736570249E+005, +1.38889898348E+001, +0.00000000000E+000
+3.84710251299E+005, +1.40002885448E+001, +0.00000000000E+000
+3.85683932348E+005, +1.39195379757E+001, +0.00000000000E+000
+3.86657613398E+005, +1.41399537519E+001, +0.00000000000E+000
+3.87631294447E+005, +1.29884675989E+001, +0.00000000000E+000
+3.88604975496E+005, +1.43017759630E+001, +0.00000000000E+000
+3.89578656546E+005, +1.37437532117E+001, +0.00000000000E+000
+3.90552337595E+005, +1.43616059092E+001, +0.00000000000E+000
+3.91526018645E+005, +1.34331095025E+001, +0.00000000000E+000
