"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, +1.26460014532E+001, +0.00000000000E+000
+3.00973681049E+005, +1.23707555134E+001, +0.00000000000E+000
+3.01947362099E+005, +1.30085404611E+001, +0.00000000000E+000
+3.02921043148E+005, +1.27813123277E+001, +0.00000000000E+000
+3.03894724198E+005, +1.29217378128E+001, +0.00000000000E+000
+3.04868405247E+005, +1.25268036557E+001, +0.00000000000E+000
+3.05842086296E+005, +1.31426279987E+001, +0.00000000000E+000
+3.06815767346E+005, +1.28226556886E+001, +0.00000000000E+000
+3.07789448395E+005, +1.23704987983E+001, +0.00000000000E+000
+3.08763129445E+005, +1.24295188345E+001, +0.00000000000E+000
+3.09736810494E+005, +1.28860495649E+001, +0.00000000000E+000
+3.10710491544E+005, +1.24368101191E+001, +0.00000000000E+000
+3.11684172593E+005, +1.25035235028E+001, +0.00000000000E+000
+3.12657853642E+005, +1.27832102436E+001, +0.00000000000E+000
+3.13631534692E+005, +1.26113323935E+001, +0.00000000000E+000
+3.14605215741E+005, +1.24153771349E+001, +0.00000000000E+000
+3.15578896791E+005, +1.16456683764E+001, +0.00000000000E+000
+3.16552577840E+005, +1.34100542044E+001, +0.00000000000E+000
+3.17526258889E+005, +1.29233088396E+001, +0.00000000000E+000
+3.18499939939E+005, +1.24982904313E+001, +0.00000000000E+000
+3.19473620988E+005, +1.21839824996E+001, +0.00000000000E+000
+3.20447302038E+005, +1.24647661897E+001, +0.00000000000E+000
+3.21420983087E+005, +1.29311803226E+001, +0.00000000000E+000
+3.22394664136E+005, +1.28048642043E+001, +0.00000000000E+000
+3.23368345186E+005, +1.28376488951E+001, +0.00000000000E+000
+3.24342026235E+005, +1.29054007984E+001, +0.00000000000E+000
+3.25315707285E+005, +1.24655763246E+001, +0.00000000000E+000
+3.26289388334E+005, +1.27552392281E+001, +0.00000000000E+000
+3.27263069384E+005, +1.25250995729E+001, +0.00000000000E+000
+3.28236750433E+005, +1.25895033731E+001, +0.00000000000E+000
+3.29210431482E+005, +1.27390826147E+001, +0.00000000000E+000
+3.30184112532E+005, +1.24137264072E+001, +0.00000000000E+000
+3.31157793581E+005, +1.20186633006E+001, +0.00000000000E+000
+3.32131474631E+005, +1.22818745353E+001, +0.00000000000E+000
+3.33105155680E+005, +1.32210489960E+001, +0.00000000000E+000
+3.34078836729E+005, +1.19358473058E+001, +0.00000000000E+000
+3.35052517779E+005, +1.29468119741E+001, +0.00000000000E+000
+3.36026198828E+005, +1.29204002956E+001, +0.00000000000E+000
+3.36999879878E+005, +1.36958608799E+001, +0.00000000000E+000
+3.37973560927E+005, +1.25442589435E+001, +0.00000000000E+000
+3.38947241976E+005, +1.21974466073E+001, +0.00000000000E+000
+3.39920923026E+005, +1.25746065679E+001, +0.00000000000E+000
+3.40894604075E+005, +1.31945664910E+001, +0.00000000000E+000
+3.41868285125E+005, +1.22630635501E+001, +0.00000000000E+000
+3.42841966174E+005, +1.26385283936E+001, +0.00000000000E+000
+3.43815647223E+005, +1.29021989978E+001, +0.00000000000E+000
+3.44789328273E+005, +1.20536264907E+001, +0.00000000000E+000
+3.45763009322E+005, +1.30192696975E+001, +0.00000000000E+000
+3.46736690372E+005, +1.34480193750E+001, +0.00000000000E+000
+3.47710371421E+005, +1.31619062190E+001, +0.00000000000E+000
+3.48684052471E+005, +1.24799300077E+001, +0.00000000000E+000
+3.49657733520E+005, +1.29590567646E+001, +0.00000000000E+000
+3.50631414569E+005, +1.28666884626E+001, +0.00000000000E+000
+3.51605095619E+005, +1.25681606484E+001, +0.00000000000E+000
+3.52578776668E+005, +1.22462806148E+001, +0.00000000000E+000
+3.53552457718E+005, +1.24463253801E+001, +0.00000000000E+000
+3.54526138767E+005, +1.29812185424E+001, +0.00000000000E+000
+3.55499819816E+005, +1.26515706347E+001, +0.00000000000E+000
+3.56473500866E+005, +1.23510475620E+001, +0.00000000000E+000
+3.57447181915E+005, +1.28022919218E+001, +0.00000000000E+000
+3.58420862965E+005, +1.29422902387E+001, +0.00000000000E+000
+3.59394544014E+005, +1.27301290823E+001, +0.00000000000E+000
+3.60368225063E+005, +1.20383953094E+001, +0.00000000000E+000
+3.61341906113E+005, +1.25206474291E+001, +0.00000000000E+000
+3.62315587162E+005, +1.21899012749E+001, +0.00000000000E+000
+3.63289268212E+005, +1.31975291345E+001, +0.00000000000E+000
+3.64262949261E+005, +1.26923254015E+001, +0.00000000000E+000
+3.65236630311E+005, +1.22091606951E+001, +0.00000000000E+000
+3.66210311360E+005, +1.28964285588E+001, +0.00000000000E+000
+3.67183992409E+005, +1.29846337164E+001, +0.00000000000E+000
+3.68157673459E+005, +1.28638346948E+001, +0.00000000000E+000
