"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, +1.24305250242E+001, +0.00000000000E+000
+3.00973681049E+005, +1.21424093853E+001, +0.00000000000E+000
+3.01947362099E+005, +1.31133514629E+001, +0.00000000000E+000
+3.02921043148E+005, +1.30630182024E+001, +0.00000000000E+000
+3.03894724198E+005, +1.29700512529E+001, +0.00000000000E+000
+3.04868405247E+005, +1.24799018648E+001, +0.00000000000E+000
+3.05842086296E+005, +1.32014617738E+001, +0.00000000000E+000
+3.06815767346E+005, +1.28470297601E+001, +0.00000000000E+000
+3.07789448395E+005, +1.24464920529E+001, +0.00000000000E+000
+3.08763129445E+005, +1.23892261958E+001, +0.00000000000E+000
+3.09736810494E+005, +1.27955520405E+001, +0.00000000000E+000
+3.10710491544E+005, +1.25108300455E+001, +0.00000000000E+000
+3.11684172593E+005, +1.23665096626E+001, +0.00000000000E+000
+3.12657853642E+005, +1.25902408537E+001, +0.00000000000E+000
+3.13631534692E+005, +1.27778861032E+001, +0.00000000000E+000
+3.14605215741E+005, +1.23354168309E+001, +0.00000000000E+000
+3.15578896791E+005, +1.15933286296E+001, +0.00000000000E+000
+3.16552577840E+005, +1.34681311063E+001, +0.00000000000E+000
+3.17526258889E+005, +1.30482847723E+001, +0.00000000000E+000
+3.18499939939E+005, +1.23378531580E+001, +0.00000000000E+000
+3.19473620988E+005, +1.20016237310E+001, +0.00000000000E+000
+3.20447302038E+005, +1.26015732630E+001, +0.00000000000E+000
+3.21420983087E+005, +1.30823162617E+001, +0.00000000000E+000
+3.22394664136E+005, +1.26736112869E+001, +0.00000000000E+000
+3.23368345186E+005, +1.30289264378E+001, +0.00000000000E+000
+3.24342026235E+005, +1.27932754666E+001, +0.00000000000E+000
+3.25315707285E+005, +1.25250990330E+001, +0.00000000000E+000
+3.26289388334E+005, +1.25649290125E+001, +0.00000000000E+000
+3.27263069384E+005, +1.26742455116E+001, +0.00000000000E+000
+3.28236750433E+005, +1.26114963542E+001, +0.00000000000E+000
+3.29210431482E+005, +1.29378745236E+001, +0.00000000000E+000
+3.30184112532E+005, +1.24371651519E+001, +0.00000000000E+000
+3.31157793581E+005, +1.20878934437E+001, +0.00000000000E+000
+3.32131474631E+005, +1.22228720488E+001, +0.00000000000E+000
+3.33105155680E+005, +1.31088246800E+001, +0.00000000000E+000
+3.34078836729E+005, +1.19582069150E+001, +0.00000000000E+000
+3.35052517779E+005, +1.30263576009E+001, +0.00000000000E+000
+3.36026198828E+005, +1.28504053767E+001, +0.00000000000E+000
+3.36999879878E+005, +1.35093297211E+001, +0.00000000000E+000
+3.37973560927E+005, +1.24725981835E+001, +0.00000000000E+000
+3.38947241976E+005, +1.19921368924E+001, +0.00000000000E+000
+3.39920923026E+005, +1.25703836405E+001, +0.00000000000E+000
+3.40894604075E+005, +1.29427142713E+001, +0.00000000000E+000
+3.41868285125E+005, +1.24398746431E+001, +0.00000000000E+000
+3.42841966174E+005, +1.27038229747E+001, +0.00000000000E+000
+3.43815647223E+005, +1.29252553788E+001, +0.00000000000E+000
+3.44789328273E+005, +1.21423413576E+001, +0.00000000000E+000
+3.45763009322E+005, +1.29321830108E+001, +0.00000000000E+000
+3.46736690372E+005, +1.35376177292E+001, +0.00000000000E+000
+3.47710371421E+005, +1.31053603143E+001, +0.00000000000E+000
+3.48684052471E+005, +1.24548474800E+001, +0.00000000000E+000
+3.49657733520E+005, +1.28495249306E+001, +0.00000000000E+000
+3.50631414569E+005, +1.28893754473E+001, +0.00000000000E+000
+3.51605095619E+005, +1.24583497208E+001, +0.00000000000E+000
+3.52578776668E+005, +1.24099275679E+001, +0.00000000000E+000
+3.53552457718E+005, +1.24357754213E+001, +0.00000000000E+000
+3.54526138767E+005, +1.30312595147E+001, +0.00000000000E+000
+3.55499819816E+005, +1.27597319305E+001, +0.00000000000E+000
+3.56473500866E+005, +1.23969275054E+001, +0.00000000000E+000
+3.57447181915E+005, +1.27371440523E+001, +0.00000000000E+000
+3.58420862965E+005, +1.29019143671E+001, +0.00000000000E+000
+3.59394544014E+005, +1.27584999187E+001, +0.00000000000E+000
+3.60368225063E+005, +1.19440197007E+001, +0.00000000000E+000
+3.61341906113E+005, +1.25822437228E+001, +0.00000000000E+000
+3.62315587162E+005, +1.20679848085E+001, +0.00000000000E+000
+3.63289268212E+005, +1.32308209653E+001, +0.00000000000E+000
+3.64262949261E+005, +1.27573752952E+001, +0.00000000000E+000
+3.65236630311E+005, +1.20591278352E+001, +0.00000000000E+000
+3.66210311360E+005, +1.28970375723E+001, +0.00000000000E+000
+3.67183992409E+005, +1.29951441394E+001, +0.00000000000E+000
+3.68157673459E+005, +1.28434385892E+001, +0.00000000000E+000
+3.69131354508E+005, +1.26327639233E+001, +0.00000000000E+000
+3.70105035558E+005, +1.25643688921E+001, +0.00000000000E+000
+3.71078716607E+005, +1.24878178480E+001, +0.00000000000E+000
+3.72052397656E+005, +1.22767660941E+001, +0.00000000000E+000
+3.73026078706E+005, +1.26125255417E+001, +0.00000000000E+000
+3.73999759755E+005, +1.26202628517E+001, +0.00000000000E+000
+3.74973440805E+005, +1.20867666279E+001, +0.00000000000E+000
+3.75947121854E+005, +1.22893994577E+001, +0.00000000000E+000
+3.76920802903E+005, +1.24925119990E+001, +0.00000000000E+000
+3.77894483953E+005, +1.29342641720E+001, +0.00000000000E+000
+3.78868165002E+005, +1.20673958215E+001, +0.00000000000E+000
+3.79841846052E+005, +1.25231259267E+001, +0.00000000000E+000
+3.80815527101E+005, +1.25027799852E+001, +0.00000000000E+000
+3.81789208151E+005, +1.25167385110E+001, +0.00000000000E+000
+3.82762889200E+005, +1.26446760833E+001, +0.00000000000E+000
+3.83736570249E+005, +1.26301417041E+001, +0.00000000000E+000
+3.84710251299E+005, +1.29570656005E+001, +0.00000000000E+000
+3.85683932348E+005, +1.25467194421E+001, +0.00000000000E+000
+3.86657613398E+005, +1.28147734131E+001, +0.00000000000E+000
+3.87631294447E+005, +1.16545269006E+001, +0.00000000000E+000
+3.88604975496E+005, +1.30794296026E+001, +0.00000000000E+000
+3.89578656546E+005, +1.24890535345E+001, +0.00000000000E+000
+3.90552337595E+005, +1.31621212131E+001, +0.00000000000E+000
