"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, -3.55507257163E-001, +0.00000000000E+000
+3.00973681049E+005, -8.23377472674E-001, +0.00000000000E+000
+3.01947362099E+005, -3.67017912713E-001, +0.00000000000E+000
+3.02921043148E+005, -4.59357912404E-002, +0.00000000000E+000
+3.03894724198E+005, -4.46907287100E-001, +0.00000000000E+000
+3.04868405247E+005, -1.36046569970E-001, +0.00000000000E+000
+3.05842086296E+005, -5.15952607114E-001, +0.00000000000E+000
+3.06815767346E+005, +1.30377200175E-001, +0.00000000000E+000
+3.07789448395E+005, -5.89554428249E-001, +0.00000000000E+000
+3.08763129445E+005, +1.19604577075E-002, +0.00000000000E+000
+3.09736810494E+005, -2.07367106171E-001, +0.00000000000E+000
+3.10710491544E+005, -5.56075614073E-001, +0.00000000000E+000
+3.11684172593E+005, -9.86532095094E-001, +0.00000000000E+000
+3.12657853642E+005, +1.45420381742E-001, +0.00000000000E+000
+3.13631534692E+005, -7.50443709790E-001, +0.00000000000E+000
+3.14605215741E+005, -1.03104334058E+000, +0.00000000000E+000
+3.15578896791E+005, -2.05044987101E+000, +0.00000000000E+000
+3.16552577840E+005, -4.52071415193E-002, +0.00000000000E+000
+3.17526258889E+005, -4.11217613071E-001, +0.00000000000E+000
+3.18499939939E+005, -9.22606064220E-001, +0.00000000000E+000
+3.19473620988E+005, -1.23560117645E+000, +0.00000000000E+000
+3.20447302038E+005, -7.49240486922E-001, +0.00000000000E+000
+3.21420983087E+005, -3.63639488270E-001, +0.00000000000E+000
+3.22394664136E+005, -3.17263111690E-001, +0.00000000000E+000
+3.23368345186E+005, +2.01920380601E-001, +0.00000000000E+000
+3.24342026235E+005, -4.31848939286E-001, +0.00000000000E+000
+3.25315707285E+005, -4.77955601462E-001, +0.00000000000E+000
+3.26289388334E+005, -7.20933645613E-001, +0.00000000000E+000
+3.27263069384E+005, -4.43521525375E-001, +0.00000000000E+000
+3.28236750433E+005, -5.04595294471E-001, +0.00000000000E+000
+3.29210431482E+005, -4.15565345938E-001, +0.00000000000E+000
+3.30184112532E+005, -9.67981030968E-001, +0.00000000000E+000
+3.31157793581E+005, -9.92217905705E-001, +0.00000000000E+000
+3.32131474631E+005, -1.00585017434E+000, +0.00000000000E+000
+3.33105155680E+005, -2.92430034349E-001, +0.00000000000E+000
+3.34078836729E+005, -1.32660104900E+000, +0.00000000000E+000
+3.35052517779E+005, -8.61433380124E-002, +0.00000000000E+000
+3.36026198828E+005, +2.34771758534E-002, +0.00000000000E+000
+3.36999879878E+005, -5.49928517476E-002, +0.00000000000E+000
+3.37973560927E+005, -6.56066540744E-001, +0.00000000000E+000
+3.38947241976E+005, -1.34901211092E+000, +0.00000000000E+000
+3.39920923026E+005, -4.60189831361E-001, +0.00000000000E+000
+3.40894604075E+005, -5.24563948282E-001, +0.00000000000E+000
+3.41868285125E+005, -6.56309618182E-001, +0.00000000000E+000
+3.42841966174E+005, -2.62829518825E-001, +0.00000000000E+000
+3.43815647223E+005, -4.79899243068E-001, +0.00000000000E+000
+3.44789328273E+005, -1.25925571955E+000, +0.00000000000E+000
+3.45763009322E+005, -2.59822436994E-001, +0.00000000000E+000
+3.46736690372E+005, +1.01425976845E-001, +0.00000000000E+000
+3.47710371421E+005, -4.74848558450E-001, +0.00000000000E+000
+3.48684052471E+005, -9.37440708435E-001, +0.00000000000E+000
+3.49657733520E+005, +2.38293531247E-001, +0.00000000000E+000
+3.50631414569E+005, -1.58870281604E-001, +0.00000000000E+000
+3.51605095619E+005, -1.07572356784E-001, +0.00000000000E+000
+3.52578776668E+005, -8.50180494433E-001, +0.00000000000E+000
+3.53552457718E+005, -5.07728589490E-001, +0.00000000000E+000
+3.54526138767E+005, -1.57851207506E-001, +0.00000000000E+000
+3.55499819816E+005, -2.09364487862E-001, +0.00000000000E+000
+3.56473500866E+005, -7.60790988439E-001, +0.00000000000E+000
+3.57447181915E+005, -1.62010834791E-001, +0.00000000000E+000
+3.58420862965E+005, +1.08202707598E-001, +0.00000000000E+000
+3.59394544014E+005, -6.59674567385E-001, +0.00000000000E+000
+3.60368225063E+005, -1.47644600549E+000, +0.00000000000E+000
+3.61341906113E+005, +1.74811840566E-001, +0.00000000000E+000
+3.62315587162E+005, -1.56106497575E+000, +0.00000000000E+000
+3.63289268212E+005, -2.08435241624E-002, +0.00000000000E+000
+3.64262949261E+005, -2.85363296365E-001, +0.00000000000E+000
+3.65236630311E+005, -1.10259831124E+000, +0.00000000000E+000
+3.66210311360E+005, -3.56503688789E-002, +0.00000000000E+000
+3.67183992409E+005, -5.04900549823E-001, +0.00000000000E+000
+3.68157673459E+005, -2.06461293424E-001, +0.00000000000E+000
+3.69131354508E+005, -4.32206205032E-001, +0.00000000000E+000
+3.70105035558E+005, -4.07786215136E-001, +0.00000000000E+000
+3.71078716607E+005, -1.05276575531E+000, +0.00000000000E+000
+3.72052397656E+005, -6.87082612334E-001, +0.00000000000E+000
+3.73026078706E+005, -1.02852065308E+000, +0.00000000000E+000
+3.73999759755E+005, -7.21599136110E-001, +0.00000000000E+000
+3.74973440805E+005, -1.38959599440E+000, +0.00000000000E+000
+3.75947121854E+005, -8.40972086681E-001, +0.00000000000E+000
+3.76920802903E+005, -7.37047623282E-001, +0.00000000000E+000
+3.77894483953E+005, -3.64217826318E-001, +0.00000000000E+000
+3.78868165002E+005, -1.72447686542E+000, +0.00000000000E+000
+3.79841846052E+005, -9.53397104262E-001, +0.00000000000E+000
+3.80815527101E+005, -2.15912699335E-001, +0.00000000000E+000
+3.81789208151E+005, -4.59096780021E-001, +0.00000000000E+000
+3.82762889200E+005, -1.90686334429E-001, +0.00000000000E+000
+3.83736570249E+005, -1.35032134711E+000, +0.00000000000E+000
+3.84710251299E+005, -1.44573976758E-001, +0.00000000000E+000
+3.85683932348E+005, -7.95116834820E-001, +0.00000000000E+000
+3.86657613398E+005, +6.73733022859E-002, +0.00000000000E+000
+3.87631294447E+005, -1.66344767552E+000, +0.00000000000E+000
+3.88604975496E+005, +6.92288603140E-002, +0.00000000000E+000
+3.89578656546E+005, -9.08073306884E-001, +0.00000000000E+000
+3.90552337595E+005, -1.58905554520E-001, +0.00000000000E+000
+3.91526018645E+005, -9.05910833272E-001, +0.00000000000E+000
+3.92499699694E+005, +2.83942680274E-001, +0.00000000000E+000
+3.93473380743E+005, -5.83489283568E-001, +0.00000000000E+000
+3.94447061793E+005, -4.92308797919E-001, +0.00000000000E+000
+3.95420742842E+005, -7.05987775495E-001, +0.00000000000E+000
+3.96394423892E+005, -1.33458832451E+000, +0.00000000000E+000
+3.97368104941E+005, -5.81397684689E-001, +0.00000000000E+000
+3.98341785990E+005, +2.20947933456E-001, +0.00000000000E+000
+3.99315467040E+005, -6.23744687237E-001, +0.00000000000E+000
+4.00289148089E+005, -2.12147620882E-001, +0.00000000000E+000
+4.01262829139E+005, +6.20285773642E-002, +0.00000000000E+000
+4.02236510188E+005, -8.60345289347E-001, +0.00000000000E+000
+4.03210191238E+005, -4.22446655517E-001, +0.00000000000E+000
+4.04183872287E+005, -5.77742907906E-001, +0.00000000000E+000
+4.05157553336E+005, -5.05425017757E-001, +0.00000000000E+000
+4.06131234386E+005, +6.00654860143E-001, +0.00000000000E+000
+4.07104915435E+005, -4.41709006143E-002, +0.00000000000E+000
+4.08078596485E+005, -3.62183408350E-001, +0.00000000000E+000
+4.09052277534E+005, +2.42348516522E-001, +0.00000000000E+000
