"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, +1.40652178356E+001, +0.00000000000E+000
+3.00973681049E+005, +1.39959856845E+001, +0.00000000000E+000
+3.01947362099E+005, +1.46095697466E+001, +0.00000000000E+000
+3.02921043148E+005, +1.47859372779E+001, +0.00000000000E+000
+3.03894724198E+005, +1.44535721218E+001, +0.00000000000E+000
+3.04868405247E+005, +1.40001261704E+001, +0.00000000000E+000
+3.05842086296E+005, +1.48288548658E+001, +0.00000000000E+000
+3.06815767346E+005, +1.44084525399E+001, +0.00000000000E+000
+3.07789448395E+005, +1.40216515871E+001, +0.00000000000E+000
+3.08763129445E+005, +1.38596827572E+001, +0.00000000000E+000
+3.09736810494E+005, +1.43273121657E+001, +0.00000000000E+000
+3.10710491544E+005, +1.41125100581E+001, +0.00000000000E+000
+3.11684172593E+005, +1.41257290230E+001, +0.00000000000E+000
+3.12657853642E+005, +1.42416612808E+001, +0.00000000000E+000
+3.13631534692E+005, +1.43914251406E+001, +0.00000000000E+000
+3.14605215741E+005, +1.41297161567E+001, +0.00000000000E+000
+3.15578896791E+005, +1.32930187014E+001, +0.00000000000E+000
+3.16552577840E+005, +1.49437582270E+001, +0.00000000000E+000
+3.17526258889E+005, +1.46299451962E+001, +0.00000000000E+000
+3.18499939939E+005, +1.39844542143E+001, +0.00000000000E+000
+3.19473620988E+005, +1.36951299495E+001, +0.00000000000E+000
+3.20447302038E+005, +1.40433691391E+001, +0.00000000000E+000
+3.21420983087E+005, +1.46890371935E+001, +0.00000000000E+000
+3.22394664136E+005, +1.44444918790E+001, +0.00000000000E+000
+3.23368345186E+005, +1.46148581466E+001, +0.00000000000E+000
+3.24342026235E+005, +1.43624124777E+001, +0.00000000000E+000
+3.25315707285E+005, +1.41536834508E+001, +0.00000000000E+000
+3.26289388334E+005, +1.42342621366E+001, +0.00000000000E+000
+3.27263069384E+005, +1.40592287020E+001, +0.00000000000E+000
+3.28236750433E+005, +1.43754799327E+001, +0.00000000000E+000
+3.29210431482E+005, +1.45269865096E+001, +0.00000000000E+000
+3.30184112532E+005, +1.42740905373E+001, +0.00000000000E+000
+3.31157793581E+005, +1.35342426128E+001, +0.00000000000E+000
+3.32131474631E+005, +1.40002305007E+001, +0.00000000000E+000
+3.33105155680E+005, +1.47922949196E+001, +0.00000000000E+000
+3.34078836729E+005, +1.37322575458E+001, +0.00000000000E+000
+3.35052517779E+005, +1.44664500664E+001, +0.00000000000E+000
+3.36026198828E+005, +1.45867051576E+001, +0.00000000000E+000
+3.36999879878E+005, +1.50485496261E+001, +0.00000000000E+000
+3.37973560927E+005, +1.40261737412E+001, +0.00000000000E+000
+3.38947241976E+005, +1.36091673501E+001, +0.00000000000E+000
+3.39920923026E+005, +1.42272982806E+001, +0.00000000000E+000
+3.40894604075E+005, +1.45932319899E+001, +0.00000000000E+000
+3.41868285125E+005, +1.38820072350E+001, +0.00000000000E+000
+3.42841966174E+005, +1.42722355169E+001, +0.00000000000E+000
+3.43815647223E+005, +1.46487122570E+001, +0.00000000000E+000
+3.44789328273E+005, +1.39407428105E+001, +0.00000000000E+000
+3.45763009322E+005, +1.46646535310E+001, +0.00000000000E+000
+3.46736690372E+005, +1.52516377921E+001, +0.00000000000E+000
+3.47710371421E+005, +1.47043190455E+001, +0.00000000000E+000
+3.48684052471E+005, +1.41337772603E+001, +0.00000000000E+000
+3.49657733520E+005, +1.45332430162E+001, +0.00000000000E+000
+3.50631414569E+005, +1.44245569837E+001, +0.00000000000E+000
+3.51605095619E+005, +1.42316768661E+001, +0.00000000000E+000
+3.52578776668E+005, +1.40888436515E+001, +0.00000000000E+000
+3.53552457718E+005, +1.41180885699E+001, +0.00000000000E+000
+3.54526138767E+005, +1.47507451100E+001, +0.00000000000E+000
+3.55499819816E+005, +1.43324679822E+001, +0.00000000000E+000
+3.56473500866E+005, +1.39665930663E+001, +0.00000000000E+000
+3.57447181915E+005, +1.43661985943E+001, +0.00000000000E+000
+3.58420862965E+005, +1.45711288517E+001, +0.00000000000E+000
+3.59394544014E+005, +1.43167067132E+001, +0.00000000000E+000
+3.60368225063E+005, +1.35847292335E+001, +0.00000000000E+000
+3.61341906113E+005, +1.42453221780E+001, +0.00000000000E+000
+3.62315587162E+005, +1.37975847629E+001, +0.00000000000E+000
+3.63289268212E+005, +1.48618503701E+001, +0.00000000000E+000
+3.64262949261E+005, +1.43734962115E+001, +0.00000000000E+000
+3.65236630311E+005, +1.37475497277E+001, +0.00000000000E+000
+3.66210311360E+005, +1.47157680399E+001, +0.00000000000E+000
+3.67183992409E+005, +1.46285651344E+001, +0.00000000000E+000
+3.68157673459E+005, +1.45290517885E+001, +0.00000000000E+000
+3.69131354508E+005, +1.41989447087E+001, +0.00000000000E+000
+3.70105035558E+005, +1.41887058688E+001, +0.00000000000E+000
+3.71078716607E+005, +1.42384184494E+001, +0.00000000000E+000
+3.72052397656E+005, +1.39090947963E+001, +0.00000000000E+000
