"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, +1.58821722619E+001, +0.00000000000E+000
+3.00973681049E+005, +1.55415405236E+001, +0.00000000000E+000
+3.01947362099E+005, +1.63620202753E+001, +0.00000000000E+000
+3.02921043148E+005, +1.62105923300E+001, +0.00000000000E+000
+3.03894724198E+005, +1.61246067149E+001, +0.00000000000E+000
+3.04868405247E+005, +1.56981933456E+001, +0.00000000000E+000
+3.05842086296E+005, +1.63647780400E+001, +0.00000000000E+000
+3.06815767346E+005, +1.60429909790E+001, +0.00000000000E+000
+3.07789448395E+005, +1.56116160013E+001, +0.00000000000E+000
+3.08763129445E+005, +1.55313153386E+001, +0.00000000000E+000
+3.09736810494E+005, +1.60663700588E+001, +0.00000000000E+000
+3.10710491544E+005, +1.56596264261E+001, +0.00000000000E+000
+3.11684172593E+005, +1.56196512707E+001, +0.00000000000E+000
+3.12657853642E+005, +1.59965701261E+001, +0.00000000000E+000
+3.13631534692E+005, +1.59570868108E+001, +0.00000000000E+000
+3.14605215741E+005, +1.56924507660E+001, +0.00000000000E+000
+3.15578896791E+005, +1.48565541082E+001, +0.00000000000E+000
+3.16552577840E+005, +1.64525261405E+001, +0.00000000000E+000
+3.17526258889E+005, +1.62728748255E+001, +0.00000000000E+000
+3.18499939939E+005, +1.54806797290E+001, +0.00000000000E+000
+3.19473620988E+005, +1.52994359919E+001, +0.00000000000E+000
+3.20447302038E+005, +1.58047708264E+001, +0.00000000000E+000
+3.21420983087E+005, +1.62206100026E+001, +0.00000000000E+000
+3.22394664136E+005, +1.60358380992E+001, +0.00000000000E+000
+3.23368345186E+005, +1.61657680281E+001, +0.00000000000E+000
+3.24342026235E+005, +1.60513506014E+001, +0.00000000000E+000
+3.25315707285E+005, +1.57034338865E+001, +0.00000000000E+000
+3.26289388334E+005, +1.59340451193E+001, +0.00000000000E+000
+3.27263069384E+005, +1.57409700631E+001, +0.00000000000E+000
+3.28236750433E+005, +1.59538911020E+001, +0.00000000000E+000
+3.29210431482E+005, +1.60834055558E+001, +0.00000000000E+000
+3.30184112532E+005, +1.57436526058E+001, +0.00000000000E+000
+3.31157793581E+005, +1.51382180494E+001, +0.00000000000E+000
+3.32131474631E+005, +1.55559423676E+001, +0.00000000000E+000
+3.33105155680E+005, +1.64241587428E+001, +0.00000000000E+000
+3.34078836729E+005, +1.53955930351E+001, +0.00000000000E+000
+3.35052517779E+005, +1.61967263125E+001, +0.00000000000E+000
+3.36026198828E+005, +1.60383995402E+001, +0.00000000000E+000
+3.36999879878E+005, +1.67250984613E+001, +0.00000000000E+000
+3.37973560927E+005, +1.56280292018E+001, +0.00000000000E+000
+3.38947241976E+005, +1.53446633630E+001, +0.00000000000E+000
+3.39920923026E+005, +1.57197965893E+001, +0.00000000000E+000
+3.40894604075E+005, +1.63713556053E+001, +0.00000000000E+000
+3.41868285125E+005, +1.55404755289E+001, +0.00000000000E+000
+3.42841966174E+005, +1.59479445758E+001, +0.00000000000E+000
+3.43815647223E+005, +1.60357935595E+001, +0.00000000000E+000
+3.44789328273E+005, +1.54053211227E+001, +0.00000000000E+000
+3.45763009322E+005, +1.61340667058E+001, +0.00000000000E+000
+3.46736690372E+005, +1.67440694982E+001, +0.00000000000E+000
+3.47710371421E+005, +1.64083999412E+001, +0.00000000000E+000
+3.48684052471E+005, +1.57187684358E+001, +0.00000000000E+000
+3.49657733520E+005, +1.60744019193E+001, +0.00000000000E+000
+3.50631414569E+005, +1.60021753154E+001, +0.00000000000E+000
+3.51605095619E+005, +1.57060526799E+001, +0.00000000000E+000
+3.52578776668E+005, +1.56534290210E+001, +0.00000000000E+000
+3.53552457718E+005, +1.55514782158E+001, +0.00000000000E+000
+3.54526138767E+005, +1.62858765154E+001, +0.00000000000E+000
+3.55499819816E+005, +1.58655302224E+001, +0.00000000000E+000
+3.56473500866E+005, +1.56411415557E+001, +0.00000000000E+000
+3.57447181915E+005, +1.60074150742E+001, +0.00000000000E+000
+3.58420862965E+005, +1.62402277272E+001, +0.00000000000E+000
+3.59394544014E+005, +1.58942865682E+001, +0.00000000000E+000
+3.60368225063E+005, +1.53186636838E+001, +0.00000000000E+000
+3.61341906113E+005, +1.57602500825E+001, +0.00000000000E+000
+3.62315587162E+005, +1.52927392064E+001, +0.00000000000E+000
+3.63289268212E+005, +1.64256744408E+001, +0.00000000000E+000
+3.64262949261E+005, +1.58292730037E+001, +0.00000000000E+000
+3.65236630311E+005, +1.52358667537E+001, +0.00000000000E+000
+3.66210311360E+005, +1.61831148796E+001, +0.00000000000E+000
