"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, +1.06020993991E+001, +0.00000000000E+000
+3.00973681049E+005, +1.00185399340E+001, +0.00000000000E+000
+3.01947362099E+005, +1.11032806907E+001, +0.00000000000E+000
+3.02921043148E+005, +1.08145022364E+001, +0.00000000000E+000
+3.03894724198E+005, +1.05121864117E+001, +0.00000000000E+000
+3.04868405247E+005, +1.02904304164E+001, +0.00000000000E+000
+3.05842086296E+005, +1.08806933400E+001, +0.00000000000E+000
+3.06815767346E+005, +1.07205905839E+001, +0.00000000000E+000
+3.07789448395E+005, +1.00713119481E+001, +0.00000000000E+000
+3.08763129445E+005, +1.01823853329E+001, +0.00000000000E+000
+3.09736810494E+005, +1.06076069661E+001, +0.00000000000E+000
+3.10710491544E+005, +1.04583049627E+001, +0.00000000000E+000
+3.11684172593E+005, +1.03067193131E+001, +0.00000000000E+000
+3.12657853642E+005, +1.05909915531E+001, +0.00000000000E+000
+3.13631534692E+005, +1.04412440546E+001, +0.00000000000E+000
+3.14605215741E+005, +1.02030071092E+001, +0.00000000000E+000
+3.15578896791E+005, +9.37637273467E+000, +0.00000000000E+000
+3.16552577840E+005, +1.13145298838E+001, +0.00000000000E+000
+3.17526258889E+005, +1.06263918873E+001, +0.00000000000E+000
+3.18499939939E+005, +1.03095499424E+001, +0.00000000000E+000
+3.19473620988E+005, +9.94029812421E+000, +0.00000000000E+000
+3.20447302038E+005, +1.03357422153E+001, +0.00000000000E+000
+3.21420983087E+005, +1.06796287987E+001, +0.00000000000E+000
+3.22394664136E+005, +1.05155589154E+001, +0.00000000000E+000
+3.23368345186E+005, +1.08228917910E+001, +0.00000000000E+000
+3.24342026235E+005, +1.06212999965E+001, +0.00000000000E+000
+3.25315707285E+005, +1.03644408916E+001, +0.00000000000E+000
+3.26289388334E+005, +1.03878965632E+001, +0.00000000000E+000
+3.27263069384E+005, +1.04953252127E+001, +0.00000000000E+000
+3.28236750433E+005, +1.03295141934E+001, +0.00000000000E+000
+3.29210431482E+005, +1.07901012119E+001, +0.00000000000E+000
+3.30184112532E+005, +1.04123903007E+001, +0.00000000000E+000
+3.31157793581E+005, +1.00359418902E+001, +0.00000000000E+000
+3.32131474631E+005, +9.99994997877E+000, +0.00000000000E+000
+3.33105155680E+005, +1.10161352027E+001, +0.00000000000E+000
+3.34078836729E+005, +9.74380308145E+000, +0.00000000000E+000
+3.35052517779E+005, +1.07917224669E+001, +0.00000000000E+000
+3.36026198828E+005, +1.05141925464E+001, +0.00000000000E+000
+3.36999879878E+005, +1.14418767080E+001, +0.00000000000E+000
+3.37973560927E+005, +1.02334315504E+001, +0.00000000000E+000
+3.38947241976E+005, +9.95676593973E+000, +0.00000000000E+000
+3.39920923026E+005, +1.02153872350E+001, +0.00000000000E+000
+3.40894604075E+005, +1.10042033616E+001, +0.00000000000E+000
+3.41868285125E+005, +1.00872568673E+001, +0.00000000000E+000
+3.42841966174E+005, +1.06732799204E+001, +0.00000000000E+000
+3.43815647223E+005, +1.07313575087E+001, +0.00000000000E+000
+3.44789328273E+005, +9.91672424786E+000, +0.00000000000E+000
+3.45763009322E+005, +1.07155796106E+001, +0.00000000000E+000
+3.46736690372E+005, +1.12151255795E+001, +0.00000000000E+000
+3.47710371421E+005, +1.09987274860E+001, +0.00000000000E+000
+3.48684052471E+005, +1.03240793315E+001, +0.00000000000E+000
+3.49657733520E+005, +1.08225326219E+001, +0.00000000000E+000
+3.50631414569E+005, +1.06248905376E+001, +0.00000000000E+000
+3.51605095619E+005, +1.01581340365E+001, +0.00000000000E+000
+3.52578776668E+005, +1.02410076042E+001, +0.00000000000E+000
+3.53552457718E+005, +1.01750385756E+001, +0.00000000000E+000
+3.54526138767E+005, +1.09491112470E+001, +0.00000000000E+000
+3.55499819816E+005, +1.05847442426E+001, +0.00000000000E+000
+3.56473500866E+005, +1.04175673712E+001, +0.00000000000E+000
+3.57447181915E+005, +1.08220371720E+001, +0.00000000000E+000
+3.58420862965E+005, +1.05570249954E+001, +0.00000000000E+000
+3.59394544014E+005, +1.04591096066E+001, +0.00000000000E+000
+3.60368225063E+005, +9.73549522624E+000, +0.00000000000E+000
+3.61341906113E+005, +1.03206267939E+001, +0.00000000000E+000
+3.62315587162E+005, +9.75653922084E+000, +0.00000000000E+000
+3.63289268212E+005, +1.09400506701E+001, +0.00000000000E+000
+3.64262949261E+005, +1.06175287834E+001, +0.00000000000E+000
+3.65236630311E+005, +1.00456527967E+001, +0.00000000000E+000
+3.66210311360E+005, +1.08464667645E+001, +0.00000000000E+000
+3.67183992409E+005, +1.07145996393E+001, +0.00000000000E+000
+3.68157673459E+005, +1.07008772827E+001, +0.00000000000E+000
+3.69131354508E+005, +1.02572908586E+001, +0.00000000000E+000
+3.70105035558E+005, +1.04866635791E+001, +0.00000000000E+000
+3.71078716607E+005, +1.01109177246E+001, +0.00000000000E+000
+3.72052397656E+005, +1.03825952543E+001, +0.00000000000E+000
+3.73026078706E+005, +1.01283350701E+001, +0.00000000000E+000
+3.73999759755E+005, +1.04031833432E+001, +0.00000000000E+000
+3.74973440805E+005, +9.76413466407E+000, +0.00000000000E+000
+3.75947121854E+005, +1.01355199659E+001, +0.00000000000E+000
+3.76920802903E+005, +1.02720553692E+001, +0.00000000000E+000
+3.77894483953E+005, +1.09618345893E+001, +0.00000000000E+000
+3.78868165002E+005, +9.77839891487E+000, +0.00000000000E+000
+3.79841846052E+005, +1.03117743308E+001, +0.00000000000E+000
+3.80815527101E+005, +1.03396942143E+001, +0.00000000000E+000
