"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, +8.80470400128E+000, +0.00000000000E+000
+3.00973681049E+005, +8.48761672960E+000, +0.00000000000E+000
+3.01947362099E+005, +9.15062080858E+000, +0.00000000000E+000
+3.02921043148E+005, +9.08387048996E+000, +0.00000000000E+000
+3.03894724198E+005, +9.12112141120E+000, +0.00000000000E+000
+3.04868405247E+005, +8.42225372791E+000, +0.00000000000E+000
+3.05842086296E+005, +9.37737147829E+000, +0.00000000000E+000
+3.06815767346E+005, +8.88539938001E+000, +0.00000000000E+000
+3.07789448395E+005, +8.63472765106E+000, +0.00000000000E+000
+3.08763129445E+005, +8.49589924428E+000, +0.00000000000E+000
+3.09736810494E+005, +9.10070530172E+000, +0.00000000000E+000
+3.10710491544E+005, +8.89616119592E+000, +0.00000000000E+000
+3.11684172593E+005, +8.71555394591E+000, +0.00000000000E+000
+3.12657853642E+005, +8.94445993137E+000, +0.00000000000E+000
+3.13631534692E+005, +8.64127213316E+000, +0.00000000000E+000
+3.14605215741E+005, +8.67427656084E+000, +0.00000000000E+000
+3.15578896791E+005, +7.82961994074E+000, +0.00000000000E+000
+3.16552577840E+005, +9.32143266432E+000, +0.00000000000E+000
+3.17526258889E+005, +8.98627674590E+000, +0.00000000000E+000
+3.18499939939E+005, +8.71644198332E+000, +0.00000000000E+000
+3.19473620988E+005, +8.21839941656E+000, +0.00000000000E+000
+3.20447302038E+005, +8.89814187044E+000, +0.00000000000E+000
+3.21420983087E+005, +9.02397146448E+000, +0.00000000000E+000
+3.22394664136E+005, +9.02240634728E+000, +0.00000000000E+000
+3.23368345186E+005, +9.02937553412E+000, +0.00000000000E+000
+3.24342026235E+005, +8.98764019026E+000, +0.00000000000E+000
+3.25315707285E+005, +8.47565782234E+000, +0.00000000000E+000
+3.26289388334E+005, +9.11747266872E+000, +0.00000000000E+000
+3.27263069384E+005, +8.50948289194E+000, +0.00000000000E+000
+3.28236750433E+005, +8.82763663849E+000, +0.00000000000E+000
+3.29210431482E+005, +8.95030990276E+000, +0.00000000000E+000
+3.30184112532E+005, +8.66018490777E+000, +0.00000000000E+000
+3.31157793581E+005, +8.28654046497E+000, +0.00000000000E+000
+3.32131474631E+005, +8.44243724225E+000, +0.00000000000E+000
+3.33105155680E+005, +9.33736798808E+000, +0.00000000000E+000
+3.34078836729E+005, +8.11794698117E+000, +0.00000000000E+000
+3.35052517779E+005, +9.28507608500E+000, +0.00000000000E+000
+3.36026198828E+005, +9.13469291478E+000, +0.00000000000E+000
+3.36999879878E+005, +9.70203807702E+000, +0.00000000000E+000
+3.37973560927E+005, +8.66921344460E+000, +0.00000000000E+000
+3.38947241976E+005, +8.32767634718E+000, +0.00000000000E+000
+3.39920923026E+005, +8.78659897951E+000, +0.00000000000E+000
+3.40894604075E+005, +9.38995964300E+000, +0.00000000000E+000
+3.41868285125E+005, +8.32173788204E+000, +0.00000000000E+000
+3.42841966174E+005, +8.73972630076E+000, +0.00000000000E+000
+3.43815647223E+005, +9.12745206157E+000, +0.00000000000E+000
+3.44789328273E+005, +8.42269407917E+000, +0.00000000000E+000
+3.45763009322E+005, +9.02954081796E+000, +0.00000000000E+000
+3.46736690372E+005, +9.56842696057E+000, +0.00000000000E+000
+3.47710371421E+005, +9.03074164783E+000, +0.00000000000E+000
+3.48684052471E+005, +8.42460014868E+000, +0.00000000000E+000
+3.49657733520E+005, +9.09536071525E+000, +0.00000000000E+000
+3.50631414569E+005, +8.90859945143E+000, +0.00000000000E+000
+3.51605095619E+005, +8.68643985815E+000, +0.00000000000E+000
+3.52578776668E+005, +8.56712057809E+000, +0.00000000000E+000
+3.53552457718E+005, +8.67810131338E+000, +0.00000000000E+000
+3.54526138767E+005, +9.27480287573E+000, +0.00000000000E+000
+3.55499819816E+005, +8.75642505362E+000, +0.00000000000E+000
+3.56473500866E+005, +8.62808206527E+000, +0.00000000000E+000
+3.57447181915E+005, +8.78044786391E+000, +0.00000000000E+000
+3.58420862965E+005, +9.28424772787E+000, +0.00000000000E+000
+3.59394544014E+005, +8.97022818884E+000, +0.00000000000E+000
+3.60368225063E+005, +7.96523365129E+000, +0.00000000000E+000
+3.61341906113E+005, +8.73217138776E+000, +0.00000000000E+000
+3.62315587162E+005, +8.11217348224E+000, +0.00000000000E+000
+3.63289268212E+005, +9.05999294057E+000, +0.00000000000E+000
+3.64262949261E+005, +8.75500428736E+000, +0.00000000000E+000
+3.65236630311E+005, +8.31067321133E+000, +0.00000000000E+000
+3.66210311360E+005, +9.06462439694E+000, +0.00000000000E+000
+3.67183992409E+005, +9.19113300767E+000, +0.00000000000E+000
+3.68157673459E+005, +9.23425590438E+000, +0.00000000000E+000
+3.69131354508E+005, +8.68029266796E+000, +0.00000000000E+000
+3.70105035558E+005, +8.77043002817E+000, +0.00000000000E+000
+3.71078716607E+005, +8.71184396311E+000, +0.00000000000E+000
+3.72052397656E+005, +8.56268799111E+000, +0.00000000000E+000
+3.73026078706E+005, +8.59842820785E+000, +0.00000000000E+000
+3.73999759755E+005, +8.54036132656E+000, +0.00000000000E+000
+3.74973440805E+005, +8.42902607973E+000, +0.00000000000E+000
+3.75947121854E+005, +8.53585380001E+000, +0.00000000000E+000
+3.76920802903E+005, +8.51159442299E+000, +0.00000000000E+000
+3.77894483953E+005, +9.17638749899E+000, +0.00000000000E+000
+3.78868165002E+005, +8.17407493734E+000, +0.00000000000E+000
+3.79841846052E+005, +8.75731552276E+000, +0.00000000000E+000
+3.80815527101E+005, +8.56524386638E+000, +0.00000000000E+000
+3.81789208151E+005, +8.93983663732E+000, +0.00000000000E+000
+3.82762889200E+005, +8.44800045019E+000, +0.00000000000E+000
+3.83736570249E+005, +9.10193109142E+000, +0.00000000000E+000
+3.84710251299E+005, +8.62779980136E+000, +0.00000000000E+000
+3.85683932348E+005, +8.89648888751E+000, +0.00000000000E+000
+3.86657613398E+005, +8.82588421651E+000, +0.00000000000E+000
+3.87631294447E+005, +7.99401853421E+000, +0.00000000000E+000
+3.88604975496E+005, +9.25914170663E+000, +0.00000000000E+000
+3.89578656546E+005, +8.88315097368E+000, +0.00000000000E+000
