"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, +1.06936967708E+001, +0.00000000000E+000
+3.00973681049E+005, +1.01814156683E+001, +0.00000000000E+000
+3.01947362099E+005, +1.10486406209E+001, +0.00000000000E+000
+3.02921043148E+005, +1.08929962013E+001, +0.00000000000E+000
+3.03894724198E+005, +1.07503646468E+001, +0.00000000000E+000
+3.04868405247E+005, +1.01848187828E+001, +0.00000000000E+000
+3.05842086296E+005, +1.09709892584E+001, +0.00000000000E+000
+3.06815767346E+005, +1.07392611925E+001, +0.00000000000E+000
+3.07789448395E+005, +1.01833694039E+001, +0.00000000000E+000
+3.08763129445E+005, +1.00980505141E+001, +0.00000000000E+000
+3.09736810494E+005, +1.07299492455E+001, +0.00000000000E+000
+3.10710491544E+005, +1.03845413842E+001, +0.00000000000E+000
+3.11684172593E+005, +1.04281344325E+001, +0.00000000000E+000
+3.12657853642E+005, +1.07227114150E+001, +0.00000000000E+000
+3.13631534692E+005, +1.05782147156E+001, +0.00000000000E+000
+3.14605215741E+005, +1.03745525512E+001, +0.00000000000E+000
+3.15578896791E+005, +9.56328751365E+000, +0.00000000000E+000
+3.16552577840E+005, +1.14532473642E+001, +0.00000000000E+000
+3.17526258889E+005, +1.08650203289E+001, +0.00000000000E+000
+3.18499939939E+005, +1.02068991078E+001, +0.00000000000E+000
+3.19473620988E+005, +9.78326492527E+000, +0.00000000000E+000
+3.20447302038E+005, +1.03833782396E+001, +0.00000000000E+000
+3.21420983087E+005, +1.10375873944E+001, +0.00000000000E+000
+3.22394664136E+005, +1.06488919077E+001, +0.00000000000E+000
+3.23368345186E+005, +1.08764184423E+001, +0.00000000000E+000
+3.24342026235E+005, +1.06857550028E+001, +0.00000000000E+000
+3.25315707285E+005, +1.03949522478E+001, +0.00000000000E+000
+3.26289388334E+005, +1.07545989139E+001, +0.00000000000E+000
+3.27263069384E+005, +1.03200318430E+001, +0.00000000000E+000
+3.28236750433E+005, +1.05489682747E+001, +0.00000000000E+000
+3.29210431482E+005, +1.08471228721E+001, +0.00000000000E+000
+3.30184112532E+005, +1.04043864022E+001, +0.00000000000E+000
+3.31157793581E+005, +9.93948172096E+000, +0.00000000000E+000
+3.32131474631E+005, +1.00415623695E+001, +0.00000000000E+000
+3.33105155680E+005, +1.10482278644E+001, +0.00000000000E+000
+3.34078836729E+005, +9.83456125582E+000, +0.00000000000E+000
+3.35052517779E+005, +1.08219853575E+001, +0.00000000000E+000
+3.36026198828E+005, +1.07101827757E+001, +0.00000000000E+000
+3.36999879878E+005, +1.15851409802E+001, +0.00000000000E+000
+3.37973560927E+005, +1.01907062189E+001, +0.00000000000E+000
+3.38947241976E+005, +1.00783035671E+001, +0.00000000000E+000
+3.39920923026E+005, +1.04734404930E+001, +0.00000000000E+000
+3.40894604075E+005, +1.11300628729E+001, +0.00000000000E+000
+3.41868285125E+005, +1.01640020770E+001, +0.00000000000E+000
+3.42841966174E+005, +1.05489269109E+001, +0.00000000000E+000
+3.43815647223E+005, +1.09470879198E+001, +0.00000000000E+000
+3.44789328273E+005, +1.02660477133E+001, +0.00000000000E+000
+3.45763009322E+005, +1.08321828406E+001, +0.00000000000E+000
+3.46736690372E+005, +1.11669069056E+001, +0.00000000000E+000
+3.47710371421E+005, +1.10192253182E+001, +0.00000000000E+000
+3.48684052471E+005, +1.02908263365E+001, +0.00000000000E+000
+3.49657733520E+005, +1.09002507560E+001, +0.00000000000E+000
+3.50631414569E+005, +1.07116968706E+001, +0.00000000000E+000
+3.51605095619E+005, +1.01806807009E+001, +0.00000000000E+000
+3.52578776668E+005, +1.01635713362E+001, +0.00000000000E+000
+3.53552457718E+005, +1.03860702862E+001, +0.00000000000E+000
+3.54526138767E+005, +1.09839690838E+001, +0.00000000000E+000
+3.55499819816E+005, +1.06164339875E+001, +0.00000000000E+000
+3.56473500866E+005, +1.00951624533E+001, +0.00000000000E+000
+3.57447181915E+005, +1.05768797569E+001, +0.00000000000E+000
+3.58420862965E+005, +1.08571430149E+001, +0.00000000000E+000
+3.59394544014E+005, +1.06273990177E+001, +0.00000000000E+000
+3.60368225063E+005, +9.85869111095E+000, +0.00000000000E+000
+3.61341906113E+005, +1.03766949618E+001, +0.00000000000E+000
+3.62315587162E+005, +9.99310675442E+000, +0.00000000000E+000
+3.63289268212E+005, +1.09279694163E+001, +0.00000000000E+000
+3.64262949261E+005, +1.04658819600E+001, +0.00000000000E+000
+3.65236630311E+005, +1.00612871803E+001, +0.00000000000E+000
+3.66210311360E+005, +1.07310120028E+001, +0.00000000000E+000
+3.67183992409E+005, +1.07957098421E+001, +0.00000000000E+000
+3.68157673459E+005, +1.08720750275E+001, +0.00000000000E+000
+3.69131354508E+005, +1.00308222761E+001, +0.00000000000E+000
+3.70105035558E+005, +1.07400082578E+001, +0.00000000000E+000
+3.71078716607E+005, +1.04007644946E+001, +0.00000000000E+000
+3.72052397656E+005, +1.02103656352E+001, +0.00000000000E+000
+3.73026078706E+005, +1.01212306708E+001, +0.00000000000E+000
+3.73999759755E+005, +1.05059462449E+001, +0.00000000000E+000
+3.74973440805E+005, +9.87104402446E+000, +0.00000000000E+000
+3.75947121854E+005, +1.01577997304E+001, +0.00000000000E+000
+3.76920802903E+005, +1.03351151764E+001, +0.00000000000E+000
+3.77894483953E+005, +1.10345341672E+001, +0.00000000000E+000
+3.78868165002E+005, +9.72086135788E+000, +0.00000000000E+000
+3.79841846052E+005, +1.03584899573E+001, +0.00000000000E+000
+3.80815527101E+005, +1.03072758877E+001, +0.00000000000E+000
+3.81789208151E+005, +1.05019324350E+001, +0.00000000000E+000
+3.82762889200E+005, +1.06291922719E+001, +0.00000000000E+000
+3.83736570249E+005, +1.06812475747E+001, +0.00000000000E+000
+3.84710251299E+005, +1.05725431904E+001, +0.00000000000E+000
+3.85683932348E+005, +1.05439512246E+001, +0.00000000000E+000
+3.86657613398E+005, +1.06952845840E+001, +0.00000000000E+000
+3.87631294447E+005, +9.48071895568E+000, +0.00000000000E+000
+3.88604975496E+005, +1.12618463603E+001, +0.00000000000E+000
+3.89578656546E+005, +1.03702949402E+001, +0.00000000000E+000
+3.90552337595E+005, +1.10301524250E+001, +0.00000000000E+000
+3.91526018645E+005, +9.82067236455E+000, +0.00000000000E+000
+3.92499699694E+005, +1.10789538507E+001, +0.00000000000E+000
+3.93473380743E+005, +9.98183167742E+000, +0.00000000000E+000
+3.94447061793E+005, +1.06867859250E+001, +0.00000000000E+000
+3.95420742842E+005, +9.73421599987E+000, +0.00000000000E+000
+3.96394423892E+005, +1.01815331315E+001, +0.00000000000E+000
+3.97368104941E+005, +1.05352342960E+001, +0.00000000000E+000
+3.98341785990E+005, +1.08281815265E+001, +0.00000000000E+000
+3.99315467040E+005, +1.05619934139E+001, +0.00000000000E+000
+4.00289148089E+005, +1.08519266484E+001, +0.00000000000E+000
+4.01262829139E+005, +1.05586284555E+001, +0.00000000000E+000
+4.02236510188E+005, +1.07119775881E+001, +0.00000000000E+000
+4.03210191238E+005, +9.97084691720E+000, +0.00000000000E+000
+4.04183872287E+005, +1.03307349090E+001, +0.00000000000E+000
+4.05157553336E+005, +1.06673267109E+001, +0.00000000000E+000
+4.06131234386E+005, +1.10046989957E+001, +0.00000000000E+000
+4.07104915435E+005, +1.04642461964E+001, +0.00000000000E+000
+4.08078596485E+005, +1.06369870500E+001, +0.00000000000E+000
+4.09052277534E+005, +1.08128272811E+001, +0.00000000000E+000
+4.10025958583E+005, +1.02182786759E+001, +0.00000000000E+000
+4.10999639633E+005, +9.84219767342E+000, +0.00000000000E+000
+4.11973320682E+005, +1.04729363900E+001, +0.00000000000E+000
+4.12947001732E+005, +1.01271684061E+001, +0.00000000000E+000
+4.13920682781E+005, +1.06437754112E+001, +0.00000000000E+000
+4.15061034603E+005, +1.01543211103E+001, +0.00000000000E+000
+4.16406207627E+005, +1.04261508634E+001, +0.00000000000E+000
+4.17751380652E+005, +1.07469388360E+001, +0.00000000000E+000
+4.19096553676E+005, +1.05518863418E+001, +0.00000000000E+000
+4.20441726701E+005, +1.04928216133E+001, +0.00000000000E+000
+4.21786899725E+005, +1.07636439162E+001, +0.00000000000E+000
+4.23132072750E+005, +1.10210939636E+001, +0.00000000000E+000
+4.24477245774E+005, +1.07728876567E+001, +0.00000000000E+000
+4.25822418799E+005, +1.07022740284E+001, +0.00000000000E+000
+4.27167591823E+005, +1.05713634304E+001, +0.00000000000E+000
+4.28512764848E+005, +1.00366407143E+001, +0.00000000000E+000
+4.29857937872E+005, +1.00659427078E+001, +0.00000000000E+000
+4.31203110897E+005, +1.05868482796E+001, +0.00000000000E+000
+4.32548283921E+005, +9.94885882376E+000, +0.00000000000E+000
+4.33893456946E+005, +9.99118799486E+000, +0.00000000000E+000
+4.35238629970E+005, +1.10327440073E+001, +0.00000000000E+000
+4.36583802995E+005, +1.08298550227E+001, +0.00000000000E+000
+4.37928976019E+005, +9.90909195023E+000, +0.00000000000E+000
+4.39274149044E+005, +1.08297160515E+001, +0.00000000000E+000
+4.40619322068E+005, +1.11726951195E+001, +0.00000000000E+000
+4.41964495093E+005, +1.04553189569E+001, +0.00000000000E+000
+4.43309668117E+005, +9.66778150688E+000, +0.00000000000E+000
+4.44654841142E+005, +1.08026395154E+001, +0.00000000000E+000
+4.46000014166E+005, +1.14618667939E+001, +0.00000000000E+000
+4.47345187191E+005, +1.04398344131E+001, +0.00000000000E+000
+4.48690360215E+005, +9.79360636113E+000, +0.00000000000E+000
+4.50035533240E+005, +1.04619729752E+001, +0.00000000000E+000
+4.51380706265E+005, +1.05990949957E+001, +0.00000000000E+000
+4.52725879289E+005, +1.03436975910E+001, +0.00000000000E+000
+4.54071052314E+005, +1.04637195343E+001, +0.00000000000E+000
+4.55416225338E+005, +1.09356522861E+001, +0.00000000000E+000
+4.56761398363E+005, +9.94371222544E+000, +0.00000000000E+000
+4.58106571387E+005, +9.59967479074E+000, +0.00000000000E+000
+4.59451744412E+005, +1.14422722829E+001, +0.00000000000E+000
+4.60796917436E+005, +1.09425018675E+001, +0.00000000000E+000
+4.62142090461E+005, +1.01322698967E+001, +0.00000000000E+000
+4.63487263485E+005, +1.02363871408E+001, +0.00000000000E+000
+4.64832436510E+005, +1.07463018721E+001, +0.00000000000E+000
+4.66177609534E+005, +1.06818949705E+001, +0.00000000000E+000
+4.67522782559E+005, +1.03479799852E+001, +0.00000000000E+000
+4.68867955583E+005, +1.02357957183E+001, +0.00000000000E+000
+4.70213128608E+005, +1.05324514207E+001, +0.00000000000E+000
+4.71558301632E+005, +9.99742683767E+000, +0.00000000000E+000
+4.72903474657E+005, +1.06006255167E+001, +0.00000000000E+000
+4.74248647681E+005, +1.00755556280E+001, +0.00000000000E+000
+4.75593820706E+005, +1.02431824678E+001, +0.00000000000E+000
+4.76938993730E+005, +1.04849640079E+001, +0.00000000000E+000
+4.78284166755E+005, +9.78738173293E+000, +0.00000000000E+000
+4.79629339779E+005, +1.05519489809E+001, +0.00000000000E+000
+4.80974512804E+005, +1.12033234622E+001, +0.00000000000E+000
+4.82319685828E+005, +1.04332375978E+001, +0.00000000000E+000
+4.83664858853E+005, +9.88581910630E+000, +0.00000000000E+000
+4.85010031877E+005, +1.04422721069E+001, +0.00000000000E+000
+4.86355204902E+005, +1.04172588560E+001, +0.00000000000E+000
+4.87700377926E+005, +1.02748092506E+001, +0.00000000000E+000
+4.89045550951E+005, +1.06534452240E+001, +0.00000000000E+000
+4.90390723975E+005, +1.04231577140E+001, +0.00000000000E+000
+4.91735897000E+005, +1.06512040074E+001, +0.00000000000E+000
+4.93081070025E+005, +1.00863582512E+001, +0.00000000000E+000
+4.94426243049E+005, +1.05043808849E+001, +0.00000000000E+000
+4.95771416074E+005, +1.04284581668E+001, +0.00000000000E+000
+4.97116589098E+005, +1.10095156575E+001, +0.00000000000E+000
+4.98461762123E+005, +1.06472231044E+001, +0.00000000000E+000
+4.99806935147E+005, +1.05302212439E+001, +0.00000000000E+000
+5.01152108172E+005, +1.07491229046E+001, +0.00000000000E+000
+5.02497281196E+005, +1.05618195959E+001, +0.00000000000E+000
+5.03842454221E+005, +1.01754301480E+001, +0.00000000000E+000
+5.05187627245E+005, +1.00715602185E+001, +0.00000000000E+000
+5.06532800270E+005, +1.02505681682E+001, +0.00000000000E+000
+5.07877973294E+005, +1.03784118831E+001, +0.00000000000E+000
+5.09223146319E+005, +1.03834240821E+001, +0.00000000000E+000
+5.10568319343E+005, +1.00652441368E+001, +0.00000000000E+000
+5.11913492368E+005, +1.06914793190E+001, +0.00000000000E+000
+5.13258665392E+005, +1.04227329498E+001, +0.00000000000E+000
+5.14603838417E+005, +1.01793924691E+001, +0.00000000000E+000
+5.15949011441E+005, +1.02260095776E+001, +0.00000000000E+000
+5.17294184466E+005, +1.05322890356E+001, +0.00000000000E+000
+5.18639357490E+005, +1.06017732714E+001, +0.00000000000E+000
+5.19984530515E+005, +1.03465281343E+001, +0.00000000000E+000
+5.21329703539E+005, +1.02636134090E+001, +0.00000000000E+000
+5.22674876564E+005, +1.04489038958E+001, +0.00000000000E+000
+5.24020049588E+005, +1.00811667446E+001, +0.00000000000E+000
+5.25365222613E+005, +1.03588219284E+001, +0.00000000000E+000
+5.26710395637E+005, +1.07151700763E+001, +0.00000000000E+000
+5.28055568662E+005, +1.08691362577E+001, +0.00000000000E+000
+5.29400741686E+005, +9.92673186422E+000, +0.00000000000E+000
+5.30745914711E+005, +1.07974274864E+001, +0.00000000000E+000
+5.32091087736E+005, +1.05039415850E+001, +0.00000000000E+000
+5.33436260760E+005, +1.02634013965E+001, +0.00000000000E+000
+5.34781433785E+005, +1.05983115543E+001, +0.00000000000E+000
+5.36126606809E+005, +1.04521385004E+001, +0.00000000000E+000
+5.37471779834E+005, +1.05877745220E+001, +0.00000000000E+000
+5.38816952858E+005, +1.02376771008E+001, +0.00000000000E+000
+5.40162125883E+005, +1.05785414346E+001, +0.00000000000E+000
+5.41507298907E+005, +1.06342266586E+001, +0.00000000000E+000
+5.42852471932E+005, +1.03020928809E+001, +0.00000000000E+000
+5.44197644956E+005, +1.05657777950E+001, +0.00000000000E+000
+5.45542817981E+005, +1.04960718784E+001, +0.00000000000E+000
+5.46887991005E+005, +1.03319201409E+001, +0.00000000000E+000
+5.48233164030E+005, +1.01903486742E+001, +0.00000000000E+000
+5.49578337054E+005, +9.99374487777E+000, +0.00000000000E+000
+5.50923510079E+005, +1.02211299409E+001, +0.00000000000E+000
+5.52268683103E+005, +1.05293937506E+001, +0.00000000000E+000
+5.53613856128E+005, +1.12852390555E+001, +0.00000000000E+000
+5.54959029152E+005, +1.01344176025E+001, +0.00000000000E+000
+5.56304202177E+005, +1.05093080871E+001, +0.00000000000E+000
+5.57649375201E+005, +1.00465321123E+001, +0.00000000000E+000
+5.58994548226E+005, +1.02448774946E+001, +0.00000000000E+000
+5.60339721250E+005, +1.03641022510E+001, +0.00000000000E+000
+5.61684894275E+005, +1.03865375576E+001, +0.00000000000E+000
+5.63030067299E+005, +1.06257592973E+001, +0.00000000000E+000
+5.64375240324E+005, +1.06851763823E+001, +0.00000000000E+000
+5.65720413348E+005, +1.03281044590E+001, +0.00000000000E+000
+5.67065586373E+005, +9.71116307910E+000, +0.00000000000E+000
+5.68410759397E+005, +1.02809052317E+001, +0.00000000000E+000
+5.69755932422E+005, +1.06934197310E+001, +0.00000000000E+000
+5.71101105446E+005, +1.08328619207E+001, +0.00000000000E+000
+5.72674489462E+005, +1.07692487688E+001, +0.00000000000E+000
+5.74533163788E+005, +1.05693398556E+001, +0.00000000000E+000
+5.76391838114E+005, +1.06300976168E+001, +0.00000000000E+000
+5.78250512440E+005, +9.74654937242E+000, +0.00000000000E+000
+5.80109186767E+005, +9.98317831989E+000, +0.00000000000E+000
