"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, +8.81299557999E+000, +0.00000000000E+000
+3.00973681049E+005, +8.16448117571E+000, +0.00000000000E+000
+3.01947362099E+005, +9.29173523188E+000, +0.00000000000E+000
+3.02921043148E+005, +9.39789325079E+000, +0.00000000000E+000
+3.03894724198E+005, +8.91242191791E+000, +0.00000000000E+000
+3.04868405247E+005, +8.32191547664E+000, +0.00000000000E+000
+3.05842086296E+005, +9.28566331156E+000, +0.00000000000E+000
+3.06815767346E+005, +8.70472949972E+000, +0.00000000000E+000
+3.07789448395E+005, +8.51348539382E+000, +0.00000000000E+000
+3.08763129445E+005, +8.38333730691E+000, +0.00000000000E+000
+3.09736810494E+005, +9.02923920901E+000, +0.00000000000E+000
+3.10710491544E+005, +8.84222944504E+000, +0.00000000000E+000
+3.11684172593E+005, +8.66545371865E+000, +0.00000000000E+000
+3.12657853642E+005, +8.98524756488E+000, +0.00000000000E+000
+3.13631534692E+005, +8.64837955066E+000, +0.00000000000E+000
+3.14605215741E+005, +8.83835803559E+000, +0.00000000000E+000
+3.15578896791E+005, +7.49245191346E+000, +0.00000000000E+000
+3.16552577840E+005, +9.52862687831E+000, +0.00000000000E+000
+3.17526258889E+005, +9.31961188715E+000, +0.00000000000E+000
+3.18499939939E+005, +8.52103519704E+000, +0.00000000000E+000
+3.19473620988E+005, +8.33088594191E+000, +0.00000000000E+000
+3.20447302038E+005, +8.60683486156E+000, +0.00000000000E+000
+3.21420983087E+005, +9.28747205191E+000, +0.00000000000E+000
+3.22394664136E+005, +8.91836425431E+000, +0.00000000000E+000
+3.23368345186E+005, +8.88347118879E+000, +0.00000000000E+000
+3.24342026235E+005, +8.78242584578E+000, +0.00000000000E+000
+3.25315707285E+005, +8.62942085958E+000, +0.00000000000E+000
+3.26289388334E+005, +8.93708917398E+000, +0.00000000000E+000
+3.27263069384E+005, +8.60462322575E+000, +0.00000000000E+000
+3.28236750433E+005, +8.47774223503E+000, +0.00000000000E+000
+3.29210431482E+005, +8.87915066941E+000, +0.00000000000E+000
+3.30184112532E+005, +8.71525590072E+000, +0.00000000000E+000
+3.31157793581E+005, +7.97559367652E+000, +0.00000000000E+000
+3.32131474631E+005, +8.37693959876E+000, +0.00000000000E+000
+3.33105155680E+005, +9.36302590498E+000, +0.00000000000E+000
+3.34078836729E+005, +8.20910487022E+000, +0.00000000000E+000
+3.35052517779E+005, +9.11511632751E+000, +0.00000000000E+000
+3.36026198828E+005, +9.06334530538E+000, +0.00000000000E+000
+3.36999879878E+005, +9.76159141042E+000, +0.00000000000E+000
+3.37973560927E+005, +8.56344973375E+000, +0.00000000000E+000
+3.38947241976E+005, +8.26986253327E+000, +0.00000000000E+000
+3.39920923026E+005, +8.66281383917E+000, +0.00000000000E+000
+3.40894604075E+005, +9.22462840595E+000, +0.00000000000E+000
+3.41868285125E+005, +8.51006596723E+000, +0.00000000000E+000
+3.42841966174E+005, +8.90584119754E+000, +0.00000000000E+000
+3.43815647223E+005, +9.33697559154E+000, +0.00000000000E+000
+3.44789328273E+005, +8.35643989440E+000, +0.00000000000E+000
+3.45763009322E+005, +9.24847968768E+000, +0.00000000000E+000
+3.46736690372E+005, +9.66026721928E+000, +0.00000000000E+000
+3.47710371421E+005, +9.37975610456E+000, +0.00000000000E+000
+3.48684052471E+005, +8.42260130363E+000, +0.00000000000E+000
+3.49657733520E+005, +9.25552244289E+000, +0.00000000000E+000
+3.50631414569E+005, +8.97744005770E+000, +0.00000000000E+000
+3.51605095619E+005, +8.55213042628E+000, +0.00000000000E+000
