"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, +1.24343812727E+001, +0.00000000000E+000
+3.00973681049E+005, +1.21885849234E+001, +0.00000000000E+000
+3.01947362099E+005, +1.27828781313E+001, +0.00000000000E+000
+3.02921043148E+005, +1.27018251559E+001, +0.00000000000E+000
+3.03894724198E+005, +1.27958073092E+001, +0.00000000000E+000
+3.04868405247E+005, +1.21990150922E+001, +0.00000000000E+000
+3.05842086296E+005, +1.30449537344E+001, +0.00000000000E+000
+3.06815767346E+005, +1.25054153551E+001, +0.00000000000E+000
+3.07789448395E+005, +1.21190036586E+001, +0.00000000000E+000
+3.08763129445E+005, +1.22254142140E+001, +0.00000000000E+000
+3.09736810494E+005, +1.24980507457E+001, +0.00000000000E+000
+3.10710491544E+005, +1.23134166131E+001, +0.00000000000E+000
+3.11684172593E+005, +1.24243536631E+001, +0.00000000000E+000
+3.12657853642E+005, +1.26129866861E+001, +0.00000000000E+000
+3.13631534692E+005, +1.25236836637E+001, +0.00000000000E+000
+3.14605215741E+005, +1.21478211609E+001, +0.00000000000E+000
+3.15578896791E+005, +1.14218487911E+001, +0.00000000000E+000
+3.16552577840E+005, +1.32814047894E+001, +0.00000000000E+000
+3.17526258889E+005, +1.27917350318E+001, +0.00000000000E+000
+3.18499939939E+005, +1.23400286114E+001, +0.00000000000E+000
+3.19473620988E+005, +1.18677327784E+001, +0.00000000000E+000
+3.20447302038E+005, +1.23724188992E+001, +0.00000000000E+000
+3.21420983087E+005, +1.27119448355E+001, +0.00000000000E+000
+3.22394664136E+005, +1.26691597675E+001, +0.00000000000E+000
+3.23368345186E+005, +1.27210791902E+001, +0.00000000000E+000
+3.24342026235E+005, +1.26200788827E+001, +0.00000000000E+000
+3.25315707285E+005, +1.22285619852E+001, +0.00000000000E+000
+3.26289388334E+005, +1.24939888848E+001, +0.00000000000E+000
+3.27263069384E+005, +1.22402947530E+001, +0.00000000000E+000
+3.28236750433E+005, +1.24727132850E+001, +0.00000000000E+000
+3.29210431482E+005, +1.25930649946E+001, +0.00000000000E+000
+3.30184112532E+005, +1.23598015016E+001, +0.00000000000E+000
+3.31157793581E+005, +1.18289368953E+001, +0.00000000000E+000
+3.32131474631E+005, +1.19625134937E+001, +0.00000000000E+000
+3.33105155680E+005, +1.30539755271E+001, +0.00000000000E+000
+3.34078836729E+005, +1.18325845625E+001, +0.00000000000E+000
+3.35052517779E+005, +1.27836766110E+001, +0.00000000000E+000
+3.36026198828E+005, +1.25588024989E+001, +0.00000000000E+000
+3.36999879878E+005, +1.34806878595E+001, +0.00000000000E+000
+3.37973560927E+005, +1.23045920438E+001, +0.00000000000E+000
+3.38947241976E+005, +1.19475633264E+001, +0.00000000000E+000
+3.39920923026E+005, +1.23080856394E+001, +0.00000000000E+000
+3.40894604075E+005, +1.29495597610E+001, +0.00000000000E+000
+3.41868285125E+005, +1.20476314781E+001, +0.00000000000E+000
+3.42841966174E+005, +1.25437989260E+001, +0.00000000000E+000
+3.43815647223E+005, +1.28221544479E+001, +0.00000000000E+000
+3.44789328273E+005, +1.20365054940E+001, +0.00000000000E+000
+3.45763009322E+005, +1.26154385510E+001, +0.00000000000E+000
+3.46736690372E+005, +1.34575776191E+001, +0.00000000000E+000
+3.47710371421E+005, +1.28336763224E+001, +0.00000000000E+000
+3.48684052471E+005, +1.23847359427E+001, +0.00000000000E+000
+3.49657733520E+005, +1.25266305510E+001, +0.00000000000E+000
+3.50631414569E+005, +1.25601355667E+001, +0.00000000000E+000
+3.51605095619E+005, +1.24183988914E+001, +0.00000000000E+000
+3.52578776668E+005, +1.21541586316E+001, +0.00000000000E+000
+3.53552457718E+005, +1.21292979014E+001, +0.00000000000E+000
+3.54526138767E+005, +1.28820700811E+001, +0.00000000000E+000
+3.55499819816E+005, +1.25819798602E+001, +0.00000000000E+000
+3.56473500866E+005, +1.23528494967E+001, +0.00000000000E+000
+3.57447181915E+005, +1.24456165842E+001, +0.00000000000E+000
+3.58420862965E+005, +1.27468420773E+001, +0.00000000000E+000
+3.59394544014E+005, +1.26508680281E+001, +0.00000000000E+000
+3.60368225063E+005, +1.17773277098E+001, +0.00000000000E+000
+3.61341906113E+005, +1.24122124648E+001, +0.00000000000E+000
+3.62315587162E+005, +1.18468992490E+001, +0.00000000000E+000
+3.63289268212E+005, +1.30759594384E+001, +0.00000000000E+000
+3.64262949261E+005, +1.24631497293E+001, +0.00000000000E+000
+3.65236630311E+005, +1.18765317974E+001, +0.00000000000E+000
+3.66210311360E+005, +1.26952831304E+001, +0.00000000000E+000
+3.67183992409E+005, +1.27721205091E+001, +0.00000000000E+000
+3.68157673459E+005, +1.26884066026E+001, +0.00000000000E+000
+3.69131354508E+005, +1.21800523294E+001, +0.00000000000E+000
+3.70105035558E+005, +1.23994469516E+001, +0.00000000000E+000
+3.71078716607E+005, +1.24303762398E+001, +0.00000000000E+000
+3.72052397656E+005, +1.22367969680E+001, +0.00000000000E+000
+3.73026078706E+005, +1.22195449725E+001, +0.00000000000E+000
+3.73999759755E+005, +1.23113630444E+001, +0.00000000000E+000
