"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, +1.16105557636E+001, +0.00000000000E+000
+3.00973681049E+005, +1.12214512745E+001, +0.00000000000E+000
+3.01947362099E+005, +1.22062909810E+001, +0.00000000000E+000
+3.02921043148E+005, +1.19074902799E+001, +0.00000000000E+000
+3.03894724198E+005, +1.18207207916E+001, +0.00000000000E+000
+3.04868405247E+005, +1.14408797019E+001, +0.00000000000E+000
+3.05842086296E+005, +1.20682508116E+001, +0.00000000000E+000
+3.06815767346E+005, +1.16617361180E+001, +0.00000000000E+000
+3.07789448395E+005, +1.11698551471E+001, +0.00000000000E+000
+3.08763129445E+005, +1.11934303933E+001, +0.00000000000E+000
+3.09736810494E+005, +1.17254869311E+001, +0.00000000000E+000
+3.10710491544E+005, +1.14814014241E+001, +0.00000000000E+000
+3.11684172593E+005, +1.16782271008E+001, +0.00000000000E+000
+3.12657853642E+005, +1.17574904607E+001, +0.00000000000E+000
+3.13631534692E+005, +1.17922095944E+001, +0.00000000000E+000
+3.14605215741E+005, +1.13979654281E+001, +0.00000000000E+000
+3.15578896791E+005, +1.06497796089E+001, +0.00000000000E+000
+3.16552577840E+005, +1.23189764686E+001, +0.00000000000E+000
+3.17526258889E+005, +1.19629288627E+001, +0.00000000000E+000
+3.18499939939E+005, +1.13365741267E+001, +0.00000000000E+000
+3.19473620988E+005, +1.09480015432E+001, +0.00000000000E+000
+3.20447302038E+005, +1.14559455167E+001, +0.00000000000E+000
+3.21420983087E+005, +1.19676205108E+001, +0.00000000000E+000
+3.22394664136E+005, +1.15998128313E+001, +0.00000000000E+000
+3.23368345186E+005, +1.20654500127E+001, +0.00000000000E+000
+3.24342026235E+005, +1.16328979771E+001, +0.00000000000E+000
+3.25315707285E+005, +1.14212258551E+001, +0.00000000000E+000
+3.26289388334E+005, +1.17152119464E+001, +0.00000000000E+000
+3.27263069384E+005, +1.14190820791E+001, +0.00000000000E+000
+3.28236750433E+005, +1.17795972460E+001, +0.00000000000E+000
+3.29210431482E+005, +1.17018882119E+001, +0.00000000000E+000
+3.30184112532E+005, +1.16064477601E+001, +0.00000000000E+000
+3.31157793581E+005, +1.08986977792E+001, +0.00000000000E+000
+3.32131474631E+005, +1.13991023757E+001, +0.00000000000E+000
+3.33105155680E+005, +1.19908277242E+001, +0.00000000000E+000
+3.34078836729E+005, +1.12016505205E+001, +0.00000000000E+000
+3.35052517779E+005, +1.17498637231E+001, +0.00000000000E+000
