"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, +5.68264503316E+000, +0.00000000000E+000
+3.00973681049E+005, +5.87748833273E+000, +0.00000000000E+000
+3.01947362099E+005, +6.17364756304E+000, +0.00000000000E+000
+3.02921043148E+005, +6.54912862441E+000, +0.00000000000E+000
+3.03894724198E+005, +6.11617930466E+000, +0.00000000000E+000
+3.04868405247E+005, +5.71163243805E+000, +0.00000000000E+000
+3.05842086296E+005, +6.43651124684E+000, +0.00000000000E+000
+3.06815767346E+005, +6.11134437393E+000, +0.00000000000E+000
+3.07789448395E+005, +5.46094569982E+000, +0.00000000000E+000
+3.08763129445E+005, +5.71613429843E+000, +0.00000000000E+000
+3.09736810494E+005, +6.01837693626E+000, +0.00000000000E+000
+3.10710491544E+005, +5.82095279090E+000, +0.00000000000E+000
+3.11684172593E+005, +5.60814258710E+000, +0.00000000000E+000
+3.12657853642E+005, +5.95198028761E+000, +0.00000000000E+000
+3.13631534692E+005, +5.81151446894E+000, +0.00000000000E+000
+3.14605215741E+005, +5.55678256521E+000, +0.00000000000E+000
+3.15578896791E+005, +5.04523881596E+000, +0.00000000000E+000
+3.16552577840E+005, +6.58323874904E+000, +0.00000000000E+000
+3.17526258889E+005, +6.16900330790E+000, +0.00000000000E+000
+3.18499939939E+005, +5.62822160201E+000, +0.00000000000E+000
+3.19473620988E+005, +5.53195533420E+000, +0.00000000000E+000
+3.20447302038E+005, +5.70301410710E+000, +0.00000000000E+000
+3.21420983087E+005, +6.39596192838E+000, +0.00000000000E+000
+3.22394664136E+005, +6.04703095373E+000, +0.00000000000E+000
+3.23368345186E+005, +6.14496880853E+000, +0.00000000000E+000
+3.24342026235E+005, +6.23277617665E+000, +0.00000000000E+000
+3.25315707285E+005, +5.83095445784E+000, +0.00000000000E+000
+3.26289388334E+005, +5.99997780053E+000, +0.00000000000E+000
+3.27263069384E+005, +5.53725799372E+000, +0.00000000000E+000
+3.28236750433E+005, +5.97118162260E+000, +0.00000000000E+000
+3.29210431482E+005, +5.75507524358E+000, +0.00000000000E+000
+3.30184112532E+005, +5.75197241454E+000, +0.00000000000E+000
+3.31157793581E+005, +5.17599873456E+000, +0.00000000000E+000
+3.32131474631E+005, +5.57163743379E+000, +0.00000000000E+000
+3.33105155680E+005, +6.51421084210E+000, +0.00000000000E+000
+3.34078836729E+005, +5.60236424868E+000, +0.00000000000E+000
+3.35052517779E+005, +6.30184279171E+000, +0.00000000000E+000
+3.36026198828E+005, +6.18884313365E+000, +0.00000000000E+000
+3.36999879878E+005, +6.69433465819E+000, +0.00000000000E+000
+3.37973560927E+005, +5.77715456528E+000, +0.00000000000E+000
+3.38947241976E+005, +5.20901795430E+000, +0.00000000000E+000
+3.39920923026E+005, +5.95227440664E+000, +0.00000000000E+000
+3.40894604075E+005, +6.11316044501E+000, +0.00000000000E+000
+3.41868285125E+005, +5.85342223360E+000, +0.00000000000E+000
+3.42841966174E+005, +6.02375435856E+000, +0.00000000000E+000
+3.43815647223E+005, +6.17089802529E+000, +0.00000000000E+000
+3.44789328273E+005, +5.60095789096E+000, +0.00000000000E+000
+3.45763009322E+005, +6.01969033952E+000, +0.00000000000E+000
+3.46736690372E+005, +6.86980234551E+000, +0.00000000000E+000
+3.47710371421E+005, +6.01756213630E+000, +0.00000000000E+000
+3.48684052471E+005, +5.55826832026E+000, +0.00000000000E+000
+3.49657733520E+005, +6.51242863293E+000, +0.00000000000E+000
+3.50631414569E+005, +6.10348036557E+000, +0.00000000000E+000
+3.51605095619E+005, +5.60668302762E+000, +0.00000000000E+000
+3.52578776668E+005, +5.62123640131E+000, +0.00000000000E+000
+3.53552457718E+005, +5.73666247015E+000, +0.00000000000E+000
+3.54526138767E+005, +6.47927982017E+000, +0.00000000000E+000
+3.55499819816E+005, +5.74235262993E+000, +0.00000000000E+000
+3.56473500866E+005, +5.29403527953E+000, +0.00000000000E+000
+3.57447181915E+005, +6.12921273861E+000, +0.00000000000E+000
+3.58420862965E+005, +6.15818245567E+000, +0.00000000000E+000
+3.59394544014E+005, +6.01330978632E+000, +0.00000000000E+000
+3.60368225063E+005, +5.29707657413E+000, +0.00000000000E+000
+3.61341906113E+005, +5.92207603167E+000, +0.00000000000E+000
+3.62315587162E+005, +5.42453949311E+000, +0.00000000000E+000
+3.63289268212E+005, +6.57524106550E+000, +0.00000000000E+000
+3.64262949261E+005, +5.56464445922E+000, +0.00000000000E+000
+3.65236630311E+005, +5.32745325195E+000, +0.00000000000E+000
+3.66210311360E+005, +6.27002069989E+000, +0.00000000000E+000
+3.67183992409E+005, +6.22496901766E+000, +0.00000000000E+000
+3.68157673459E+005, +6.35099772128E+000, +0.00000000000E+000
+3.69131354508E+005, +5.78738610206E+000, +0.00000000000E+000
+3.70105035558E+005, +5.55939713570E+000, +0.00000000000E+000
+3.71078716607E+005, +5.71720164212E+000, +0.00000000000E+000
+3.72052397656E+005, +5.44171961907E+000, +0.00000000000E+000
+3.73026078706E+005, +5.55701107327E+000, +0.00000000000E+000
+3.73999759755E+005, +5.63672837564E+000, +0.00000000000E+000
+3.74973440805E+005, +5.63301051594E+000, +0.00000000000E+000
+3.75947121854E+005, +5.20015792757E+000, +0.00000000000E+000
+3.76920802903E+005, +5.82528565048E+000, +0.00000000000E+000
+3.77894483953E+005, +6.34429749439E+000, +0.00000000000E+000
+3.78868165002E+005, +5.08758889151E+000, +0.00000000000E+000
+3.79841846052E+005, +5.73447370524E+000, +0.00000000000E+000
+3.80815527101E+005, +5.63468119036E+000, +0.00000000000E+000
+3.81789208151E+005, +5.95240068132E+000, +0.00000000000E+000
+3.82762889200E+005, +5.86569849608E+000, +0.00000000000E+000
+3.83736570249E+005, +6.04474754223E+000, +0.00000000000E+000
+3.84710251299E+005, +5.69596495454E+000, +0.00000000000E+000
+3.85683932348E+005, +5.95016811385E+000, +0.00000000000E+000
+3.86657613398E+005, +5.74804997247E+000, +0.00000000000E+000
+3.87631294447E+005, +5.13205521664E+000, +0.00000000000E+000
+3.88604975496E+005, +6.13513393620E+000, +0.00000000000E+000
+3.89578656546E+005, +6.10051106205E+000, +0.00000000000E+000
+3.90552337595E+005, +6.17925846850E+000, +0.00000000000E+000
+3.91526018645E+005, +5.54880877287E+000, +0.00000000000E+000
+3.92499699694E+005, +6.48842451835E+000, +0.00000000000E+000
+3.93473380743E+005, +5.81511247434E+000, +0.00000000000E+000
+3.94447061793E+005, +5.85998857006E+000, +0.00000000000E+000
+3.95420742842E+005, +4.87174525929E+000, +0.00000000000E+000
+3.96394423892E+005, +5.41077388426E+000, +0.00000000000E+000
+3.97368104941E+005, +5.78231536630E+000, +0.00000000000E+000
+3.98341785990E+005, +6.01284348806E+000, +0.00000000000E+000
+3.99315467040E+005, +5.90306602570E+000, +0.00000000000E+000
+4.00289148089E+005, +5.99695309846E+000, +0.00000000000E+000
+4.01262829139E+005, +6.21729661604E+000, +0.00000000000E+000
+4.02236510188E+005, +6.17797762663E+000, +0.00000000000E+000
+4.03210191238E+005, +5.67202467316E+000, +0.00000000000E+000
+4.04183872287E+005, +5.84408088478E+000, +0.00000000000E+000
+4.05157553336E+005, +6.08002276214E+000, +0.00000000000E+000
+4.06131234386E+005, +6.20802396454E+000, +0.00000000000E+000
+4.07104915435E+005, +5.95940445629E+000, +0.00000000000E+000
+4.08078596485E+005, +5.86851900853E+000, +0.00000000000E+000
+4.09052277534E+005, +5.97863680929E+000, +0.00000000000E+000
+4.10025958583E+005, +5.81042991483E+000, +0.00000000000E+000
+4.10999639633E+005, +5.33719225211E+000, +0.00000000000E+000
+4.11973320682E+005, +6.02118732830E+000, +0.00000000000E+000
+4.12947001732E+005, +5.48802783379E+000, +0.00000000000E+000
+4.13920682781E+005, +5.75352751064E+000, +0.00000000000E+000
+4.15061034603E+005, +5.99103839263E+000, +0.00000000000E+000
+4.16406207627E+005, +5.90003526741E+000, +0.00000000000E+000
+4.17751380652E+005, +5.91133858028E+000, +0.00000000000E+000
+4.19096553676E+005, +6.03773614993E+000, +0.00000000000E+000
+4.20441726701E+005, +5.73228878439E+000, +0.00000000000E+000
+4.21786899725E+005, +6.21080096054E+000, +0.00000000000E+000
+4.23132072750E+005, +6.45031945325E+000, +0.00000000000E+000
+4.24477245774E+005, +5.91531813939E+000, +0.00000000000E+000
+4.25822418799E+005, +6.25997243378E+000, +0.00000000000E+000
+4.27167591823E+005, +5.52406515911E+000, +0.00000000000E+000
+4.28512764848E+005, +5.42075622241E+000, +0.00000000000E+000
+4.29857937872E+005, +5.49933452630E+000, +0.00000000000E+000
+4.31203110897E+005, +5.78805034045E+000, +0.00000000000E+000
+4.32548283921E+005, +5.13240007499E+000, +0.00000000000E+000
+4.33893456946E+005, +5.59541454429E+000, +0.00000000000E+000
+4.35238629970E+005, +6.68833525421E+000, +0.00000000000E+000
+4.36583802995E+005, +6.14745056882E+000, +0.00000000000E+000
+4.37928976019E+005, +5.38346550439E+000, +0.00000000000E+000
+4.39274149044E+005, +6.26609983300E+000, +0.00000000000E+000
+4.40619322068E+005, +6.34687071539E+000, +0.00000000000E+000
+4.41964495093E+005, +5.54126048716E+000, +0.00000000000E+000
+4.43309668117E+005, +5.00787886113E+000, +0.00000000000E+000
+4.44654841142E+005, +6.53639950254E+000, +0.00000000000E+000
+4.46000014166E+005, +6.57957739530E+000, +0.00000000000E+000
+4.47345187191E+005, +5.52691268363E+000, +0.00000000000E+000
+4.48690360215E+005, +5.40878290581E+000, +0.00000000000E+000
+4.50035533240E+005, +5.94947007925E+000, +0.00000000000E+000
+4.51380706265E+005, +5.68662062309E+000, +0.00000000000E+000
+4.52725879289E+005, +5.85803353207E+000, +0.00000000000E+000
+4.54071052314E+005, +5.87909651460E+000, +0.00000000000E+000
+4.55416225338E+005, +6.14739830022E+000, +0.00000000000E+000
+4.56761398363E+005, +5.39688366324E+000, +0.00000000000E+000
+4.58106571387E+005, +5.37272427484E+000, +0.00000000000E+000
+4.59451744412E+005, +6.81469917710E+000, +0.00000000000E+000
+4.60796917436E+005, +6.00395981218E+000, +0.00000000000E+000
+4.62142090461E+005, +5.27066130462E+000, +0.00000000000E+000
+4.63487263485E+005, +5.97153910007E+000, +0.00000000000E+000
+4.64832436510E+005, +6.15679953030E+000, +0.00000000000E+000
+4.66177609534E+005, +5.84165053155E+000, +0.00000000000E+000
+4.67522782559E+005, +5.81857706076E+000, +0.00000000000E+000
+4.68867955583E+005, +5.94820385368E+000, +0.00000000000E+000
+4.70213128608E+005, +5.63121370991E+000, +0.00000000000E+000
+4.71558301632E+005, +5.30473802430E+000, +0.00000000000E+000
+4.72903474657E+005, +6.09129699068E+000, +0.00000000000E+000
+4.74248647681E+005, +5.39111917420E+000, +0.00000000000E+000
+4.75593820706E+005, +5.60170351298E+000, +0.00000000000E+000
+4.76938993730E+005, +5.70315239962E+000, +0.00000000000E+000
+4.78284166755E+005, +5.52569074646E+000, +0.00000000000E+000
+4.79629339779E+005, +5.90665412283E+000, +0.00000000000E+000
+4.80974512804E+005, +6.25029868279E+000, +0.00000000000E+000
+4.82319685828E+005, +5.72772659296E+000, +0.00000000000E+000
+4.83664858853E+005, +5.31117390643E+000, +0.00000000000E+000
+4.85010031877E+005, +6.01612950560E+000, +0.00000000000E+000
+4.86355204902E+005, +5.81737077321E+000, +0.00000000000E+000
+4.87700377926E+005, +5.52731420023E+000, +0.00000000000E+000
+4.89045550951E+005, +5.88579260723E+000, +0.00000000000E+000
+4.90390723975E+005, +5.72809405563E+000, +0.00000000000E+000
+4.91735897000E+005, +6.07897904324E+000, +0.00000000000E+000
+4.93081070025E+005, +5.24839828163E+000, +0.00000000000E+000
+4.94426243049E+005, +6.13824165621E+000, +0.00000000000E+000
+4.95771416074E+005, +5.75319637618E+000, +0.00000000000E+000
